,0,1,2,3,4,5,6
12,2012안건251,조선닷컴,8.  27.,사회면,"범행  재연하며  눈물…  시민들  ""저렇게  나약한  사람이  돌변,  더    끔찍""",＂,＂
13,2012안건252,문화일보,8.  27.,9면,보통  시민  얼굴로  '묻지마  범죄',＂,시정권고
14,2012안건253,연합뉴스,8.  24.,사회면,여의도  칼부림    피의자  영장심사…'범행  후회',＂,시정권고
15,2012안건254,연합뉴스,8.  26.,사회면,<판치는    강력범죄>  ①안전한  곳이  없다,＂,＂
16,2012안건255,연합뉴스,8.  26.,사회면,<판치는  강력범죄>  ②범정부  장기대책  나와야,＂,＂
17,2012안건256,연합뉴스,8.  26.,사회면,여의도  칼부림'  피의자  현장검증,＂,불문
1,2012안건257,연합뉴스,9.  25.,기사,북한산  마약  밀반입  신종  수법  적발,마약  및 약물보도,시정권고
2,2012안건258,이타임즈,9.  25.,사건사고,북한산  마약  밀반입  신종  수법  적발,＂,＂
3,2012안건259,조선닷컴,9.  25.,사회,"내연녀  불러내서,  ""몸에  좋다""며  마약  먹이고는",＂,＂
4,2012안건260,인터넷헤럴드경제,9.  25.,뉴스,"경찰,  ‘북한산  히로뽕’  밀반입  신종  수법  적발",＂,＂
5,2012안건261,세계닷컴,9.  25.,사회,"""보약이다""  은박지에  묻힌  히로뽕,  내연女  먹인  후",＂,＂
6,2012안건262,세계일보,9.  26.,11면,북한산  필로폰  밀반입  일당  적발,＂,＂
7,2012안건263,온라인 중앙일보,9.  26.,사회,"쿠키  먹고  배  아파  병원  갔더니  ""마약  했군요""",＂,＂
1,2012안건264,중앙일보,9.  26.,19면,"쿠키  먹고  배  아파  병원  갔더니  ""마약  했군요""",마약  및 약물보도,시정권고
2,2012안건265,MK뉴스,9.  26.,사회,쿠키  먹었는데  불구속입건…무슨  일이?,＂,＂
3,2012안건266,동아닷컴,10.  15.,사회,연예인등    수십명에  프로포폴  주사놨다,＂,＂
4,2012안건267,동아일보,10.  15.,1면,연예인등    수십명에  프로포폴  주사놨다,＂,＂
5,2012안건268,울산매일,10.  17.,18면,우유  주사,＂,＂
6,2012안건269,e머니투데이,10.  29.,사회,"프로포폴,    적정량의  20배  투약하니  황홀지경!",＂,＂
7,2012안건270,온라인 중앙일보,10.  29.,사회,"프로포폴,    적정량의  20배  투약하니  황홀지경!!",＂,＂
1,2012안건271,연합뉴스,11.  01.,사회,마약원료  함유  감기약'  청국장    위장해  밀수출,마약  및 약물보도,시정권고
2,2012안건272,뉴시스,11.  01.,사회,‘청국장  마약’국내  최대규모  밀반출  적발…‘6000만명  동시투약  가능,＂,＂
3,2012안건273,뉴스1,11.  01.,사회,"6000만명  동시투약  가능한  4조원대  '히로뽕'  원료, 밀반출  일당  검거",＂,＂
4,2012안건274,뉴스엔,11.  01.,사회,"청국장  마약  덜미,  감기약  가루로  만들었더니 ‘기상천외’",＂,＂
5,2012안건275,인터넷 한국일보,11.  01.,사회,마약원료  함유  감기약'  청국장  위장해  밀수출,＂,＂
1,2012안건276,온라인 중앙일보,11.  01.,사회,청국장이  아니고  마약이었네,＂,＂
2,2012안건277,중앙일보,11.  02.,14면,청국장이  아니고  마약이었네,＂,＂
3,2012안건278,시사서울닷컴,11.  01.,사회,청국장  마약'  밀반출  적발…'6000만명  동시  투약가능',＂,＂
4,2012안건279,아시아투데이닷컴,11.  01.,사회,"청국장둔갑′히로뽕′원료,해외밀수출일당′덜미′",＂,＂
5,2012안건280,이타임즈,11.  01.,사건사고,마약원료  함유  감기약'  청국장  위장해  밀수출,＂,＂
6,2012안건281,인터넷 경기매일,11.  01.,사건사고,청국장위장마약'밀반출적발,＂,＂
7,2012안건282,e머니투데이,11.  01.,사건,"6000만명  동시투약  가능한  4조원대  '히로뽕'  원료, 밀반출  일당  검거",＂,＂
8,2012안건283,세계닷컴,11.  01.,사회일반,‘마약원료  함유  감기약’  청국장  위장해  밀수출,＂,＂
9,2012안건284,세계일보,11.  02.,8면,"마약성분  든  감기약,  청국장으로  위장  밀반출",＂,＂
10,2012안건285,조선닷컴,11.  01.,사회,"6000만명  동시투약  가능한  4조원대  '히로뽕'  원료, 밀반출  일당  검거",＂,＂
11,2012안건286,노컷뉴스,11.  01.,사건사고,필로폰  원료  들어간  감기약  '청국장'으로  밀수출,＂,＂
12,2012안건287,인터넷 경향신문,11.  01.,사건사고,"마약  원료를  청국장으로  위장,  밀반출  일당  붙잡혀",마약  및 약물보도,시정권고
13,2012안건288,경향신문,11.  01.,12면,`마약반죽'  청국장으로  위장  밀수출,＂,＂
14,2012안건289,mk뉴스,11.  01.,종합,"마약  원료  함유  감기약,  청국장으로  위장해  밀수출",＂,＂
15,2012안건290,동아닷컴,11.  01.,사회,히로뽕에  쓸  감기약  ‘마약왕국’  멕시코  밀수출,＂,＂
16,2012안건291,동아일보,11.  02.,12면,히로뽕에  쓸  감기약  ‘마약왕국’  멕시코  밀수출,＂,＂
17,2012안건292,인터넷 헤럴드경제,11.  01.,뉴스,감기약이마약원료?청국장위장밀반출“의약품규제허술…마약원료공급지로”,＂,＂
1,2012안건293,헤럴드경제,11.  01.,"1면, 9면",감기약이마약원료?청국장위장밀반출“의약품규제허술…마약원료공급지로”,＂,＂
2,2012안건294,인터넷 문화일보,11.  01.,사회,마약성분  감기약  30억어치  해외  밀반출,＂,＂
3,2012안건295,문화일보,11.  01.,9면,마약성분  감기약  30억어치  해외  밀반출,＂,＂
4,2012안건296,한경닷컴,11.  02.,뉴스,5조규모  마약성분  감기약  청국장  둔갑시켜  밀반출,＂,＂
5,2012안건297,한국경제,11.  02.,27면,5조규모  마약성분  감기약  청국장  둔갑시켜  밀반출,＂,＂
6,2012안건298,인터넷 서울경제,11.  01.,사회,마약성분  감기약  30억어치  밀수출,＂,＂
7,2012안건299,서울경제,11.  02.,24면,마약성분  감기약  30억어치  밀수출,＂,＂
1,2013안건1,시사포커스신문,12.  09.,사회,미운  남편  보복해서  불만  해소하기,사생활 침해,시정권고
2,2013안건2,시사포커스,12-305호,44면-46면,미운  남편  보복해서  불만  해소하기,〃,＂
3,2013안건3,아시아뉴스통신,12.  10.,사회,"경기경찰2청,  신종  대마  제조·판매한  미군 탈영병  4명  검거",마약  및약물보도,＂
4,2013안건4,뉴시스,12.  10.,전국,합성  대마  제조·판매한  미군  탈영병  4명  검거,〃,＂
5,2013안건5,뉴스1코리아,12.  10.,전국,신종마약  만들어  판매한  주한미군  무더기  검거,〃,＂
1,2013안건6,연합뉴스,12.  10.,기사,미군  탈영병  4명  신종마약  직접  제조·판매 입건(종합),마약  및약물보도,시정권고
2,2013안건7,메디컬투데이,12.  10.,사건사고,고양이  흥분제  대마+가그린  배합  신종마약 유통한  美  탈영병  검거,〃,＂
3,2013안건8,노컷뉴스,12.  10.,사회,미군  탈영병  4명  신종마약  제조·판매  혐의 검거,〃,＂
4,2013안건9,조선닷컴,12.  10.,사회,미군  탈영병  4명  신종마약  직접  제조·판매 혐의  조사,〃,＂
5,2013안건10,조선일보,12.  11.,10면,대마를  커피가루로  속여  밀반입,〃,＂
6,2013안건11,인터넷한겨레,12.  10.,사회,‘신종마약  장사’  미군탈영병  4명  검거,〃,＂
7,2013안건12,한겨레,12.  11.,12면,‘신종마약  장사’  미군탈영병  4명  검거,〃,＂
8,2013안건13,인터넷헤럴드경제,12.  11.,사회,미군  탈영병  4명  신종마약  제조  ·  판매,〃,＂
9,2013안건14,헤럴드경제,12.  11.,11면,미군  탈영병  4명  신종마약  제조  ·  판매,〃,＂
10,2013안건15,인터넷경인일보,12.  11.,사회,미군  탈영병  4명  신종마약  제조  판매,〃,＂
11,2013안건16,경인일보,12.  11.,23면,미군  탈영병  4명  신종마약  제조  판매,〃,＂
12,2013안건17,인터넷중부일보,12.  11.,사회,신종  마약  직접  제조·판매한  미군  탈영병  4명  적발,〃,＂
1,2013안건24,이타임즈,1.  31.,사회,22개월  어린이집  원생  떡볶이  먹다    질식사,사생활침해,시정권고
2,2013안건25,온라인 중앙일보,1.  01.,지구촌,동부  70대  한인  집주인…세입자  2명  총격 살해,범죄사건보도,＂
3,2013안건26,연합뉴스,1.  07.,사회,화성서  경찰관  목매  숨진채  발견…경찰  경위 조사,자살보도,＂
4,2013안건27,이타임즈,1.  07.,사회,화성서  경찰관  목매  숨진채  발견…경찰  경위 조사,〃,＂
5,2013안건28,한경닷컴,1.  07.,사회,화성서  경찰관  목매  숨진채  발견…경찰  경위 조사,〃,＂
6,2013안건29,스포츠서울닷컴,1.  24.,사회,"‘우유주사’  프로포폴,  “한번  맞으면  그  맛  잊지  못해”",마약  및약물보도,＂
7,2013안건30,e머니투데이,1.  28.,사회,"2012년,  1170억어치  마약  국내  반입",〃,＂
8,2013안건31,머니투데이,1.  29.,24면,세계  31개국서  밀수  ‘마약정거장’  된  한국,〃,＂
1,2013안건32,온라인 중앙일보,1.  28.,사회,"2012년,  1170억어치  마약  국내  반입",마약  및약물보도,시정권고
2,2013안건33,인터넷 헤럴드경제,1.  28.,사회,신종마약  밀반입ㆍ프로포폴  오남용  급증… “‘마약청’    신설  검토”,〃,＂
3,2013안건34,한경닷컴,1.  29.,사회,"성폭행  악용되는  졸피뎀,  인터넷  주문  3시간 만에  배달",〃,＂
4,2013안건35,한국경제,1.  30.,28면,"성폭행  악용되는  졸피뎀,  인터넷  주문  3시간 만에  배달",〃,＂
5,2013안건36,인터넷 중도일보,1.  30.,문화,마약성  수면유도제인  졸피뎀  먹인후  성폭행한  의사들?,〃,＂
6,2013안건37,인터넷 헤럴드경제,1.  30.,뉴스,졸피뎀이  뭐길래…성폭행에  악용되나,〃,＂
7,2013안건38,헤럴드경제,1.  30.,10면,성폭행  악용‘졸피뎀’이  뭐기에…,〃,＂
8,2013안건39,e머니투데이,1.  29.,사회,"의사,  약물  이용해  성폭행…  '졸피뎀'이란?",〃,＂
9,2013안건17,인터넷중부일보,12.  11.,사회,신종  마약  직접  제조·판매한  미군  탈영병  4명  적발,〃,＂
1,2013안건40,인터넷 강원신문,3.  08.,사회,"심야시간,  실종    정신분열  60대女  극적구조",정신질환자 신원공개,시정권고
2,2013안건41,연합뉴스,2.  18.,사회,“경보기  무용지물”…신출귀몰  차량털이범  검거,범죄수법상세묘사,＂
3,2013안건42,무등일보,2.  19.,5면,하룻밤새  차량  10대  털었다,〃,＂
4,2013안건43,인터넷무등일보,2.  18.,사회,하룻밤새  차량  10대  털었다,〃,＂
5,2013안건44,전남매일,2.  18.,7면,신출귀몰  차털이범  ‘경보기  무용지물,〃,＂
6,2013안건45,인터넷전남매일,2.  19.,사회,신출귀몰  차털이범  ‘경보기  무용지물,〃,＂
7,2013안건46,인터넷 한국일보,2.  18.,사회,"""경보기무용지물""...신출귀몰차량털이범검거",〃,＂
8,2013안건47,동아닷컴,2.  18.,사회,"""경보기  무용지물""…신출귀몰   차량털이범 검거",〃,＂
1,2013안건48,인터넷호남매일,2.  19.,사회,차량털이범  검거...한달새  51대    털어,〃,시정권고
2,2013안건49,조선일보,3.  20.,10면,"""업무  힘들다""…  사회복지  공무원  또    자살",자살보도,유예
3,2013안건50,조선닷컴,3.  20.,사회,"""업무  힘들다""…  사회복지  공무원  또    자살",〃,〃
4,2013안건51,쿠키뉴스,3.  20.,사회,“업무  힘들다”  사회복지  담당공무원  자살  잇따라,〃,〃
5,2013안건52,울산신문,3.  20.3.  22.,5면5면,중구공무원번개탄피운차량서숨진채발견살인적인업무가삶의욕까지짓밟았다,자살보도,〃
6,2013안건53,인터넷울산신문,3.  19.3.  21.,사회사회,중구공무원번개탄피운차량서숨진채발견살인적인업무가삶의욕까지짓밟았다,〃,〃
7,2013안건54,경남매일,3.  21.,5면,잇단  복지담당  공무원  자살…  현장서  살펴보니,〃,〃
8,2013안건55,인터넷경남매일,3.  20.,사회,잇단  복지담당  공무원  자살…  현장서  살펴보니,〃,〃
9,2013안건56,뉴데일리,2.  24.,사회,박시후  '데이트  강간?'  아니면  '막장  자작극'   희생양?,마약  및약물보도,시정권고
10,2013안건57,인터넷 서울경제,3.  04.,사회,강남  여자들에  은밀한  경고  '초비상',〃,〃
11,2013안건58,인터넷 스포츠한국,3.  04.,라이프,강남  여자들  사이에  퍼진  ‘이상한  경고’,〃,〃
12,2013안건59,인터넷 한국일보,3.  04.,사회,음료수  함부로  마시면…  강남女들  공포,〃,〃
13,2013안건60,조선일보,3.  19.,10면,쏟아지는  합성  마약…  인터넷서  마구  팔린다,〃,〃
14,2013안건61,조선닷컴,3.  19.,사회,쏟아지는  합성  마약…  인터넷서  마구  팔린다,〃,〃
15,2013안건62,동아닷컴,3.  12.,사회,경산서  고교생  투신자살…학교  CCTV  사각지대서  폭행    당해,충격⋅  혐오감,〃
16,2013안건63,온라인 중앙일보,3.  12.,사회,"경찰,  투신  고교생  사고  당일  행적  밝혀",〃,〃
1,2013안건49,조선일보,3.  20.,10면,"""업무  힘들다""…  사회복지  공무원  또    자살",자살보도,시정권고
2,2013안건50,조선닷컴,3.  20.,사회,"""업무  힘들다""…  사회복지  공무원  또    자살",〃,〃
3,2013안건51,쿠키뉴스,3.  20.,사회,“업무  힘들다”  사회복지  담당공무원  자살  잇따라,〃,〃
4,2013안건52,울산신문,3.  20.3.  22.,5면5면,중구  공무원  번개탄  피운  차량서  숨진 채 발견살인적인 업무가 삶 의욕까지 짓밟았다,〃,〃
5,2013안건53,인터넷울산신문,3.  19.3.  21.,사회사회,중구  공무원  번개탄  피운  차량서  숨진 채 발견살인적인 업무가 삶 의욕까지 짓밟았다,〃,〃
6,2013안건54,경남매일,3.  21.,5면,잇단  복지담당  공무원  자살…  현장서  살펴보니,〃,불문
7,2013안건55,인터넷경남매일,3.  20.,사회,잇단  복지담당  공무원  자살…  현장서  살펴보니,〃,〃
8,2013안건64,조선닷컴,4. 04.,사회,불쌍해  취직시켜줬더니…친구  운영  사우나서 야금야금  돈빼가,피의자∙피고인신원공개,시정권고
1,2013안건65,중앙일보,4. 18.,8면,“엄마  부엌서  폭탄  만드는  법”  …  알카에다 대놓고  공개,범죄수법상세묘사,시정권고
2,2013안건66,온라인 중앙일보,4. 18.,사회,“엄마  부엌서  폭탄  만드는  법”  …  알카에다 대놓고  공개,〃,＂
3,2013안건67,매일경제,4. 18.,10면,100달러로  쉽게  만들  수  있어  테러범  애용,〃,＂
4,2013안건68,mk뉴스,4. 17.,사회,"압력솥폭탄왜쓰였나…""100달러로만들수있어""",〃,＂
5,2013안건69,노컷뉴스,3. 22.,사회,고위층  성접대'에  쓰인  약물...로라제팜은?,마약  및   약물보도,＂
6,2013안건70,인터넷 국제신문,3. 22.,사회,고위층    성접대'에  쓰인  약물…로라제팜은?,〃,＂
7,2013안건71,인터넷 일간스포츠,3. 22.,사회,고위층    성접대'에  쓰인  약물…로라제팜은?,〃,＂
8,2013안건72,연합뉴스,3. 26.,사회,일본  보따리상  통해  신종마약  밀수·유통  4명 적발,〃,＂
9,2013안건73,경기타임스e,3. 26.,사회,"안양동안경찰,  일본  보따리상  통해  신종마약 밀수·유통  4명  적발",〃,＂
10,2013안건74,인터넷 경기일보,3. 26.,사회,일본서  들여온  신종  마약  유통시킨  일당  검거,〃,＂
11,2013안건75,연합뉴스,4. 16.,사회,주택가  원룸서    감기약으로  히로뽕  제조  … 2명  구속,〃,＂
12,2013안건76,뉴스1코리아,4. 16.,사회,감기약으로    필로폰  1억원어치  제조  판매한 30대  2명  구속,〃,〃
13,2013안건77,경남매일,4. 17.,4면,원룸서  감기약  이용  필로폰  제조,〃,〃
14,2013안건78,인터넷 경남매일,4. 17.,사회,원룸서  감기약  이용  필로폰  제조,〃,〃
15,2013안건79,전국매일,4. 17.,16면,감기약으로'히로뽕'제조2명구속,〃,〃
16,2013안건80,인터넷 전국매일,4. 17.,사회,감기약으로'히로뽕'제조2명구속,〃,〃
17,2013안건81,경남일보,4. 17.,4면,감기약으로  필로폰  만든  일당  구속,〃,〃
1,2013안건82,인터넷 경남일보,4. 17.,사회,종합감기약으로  필로폰  제조'  일당  구속,마약  및   약물보도,시정권고
2,2013안건83,국제신문,4. 17.,8면,감기약  이용  히로뽕  제조,〃,〃
3,2013안건84,인터넷 국제신문,4. 17.,사회,감기약  이용  히로뽕  제조,〃,〃
4,2013안건85,경남신문,4. 16.,5면,감기약으로    필로폰  제조,〃,〃
5,2013안건86,인터넷 경남신문,4. 16.,사회,감기약으로    필로폰  제조,〃,〃
6,2013안건87,인터넷 경남도민신문,4. 16.,사회,주택가  원룸서    감기약  이용  필로폰  제조한 일당  검거,〃,〃
7,2013안건88,아주뉴스,4. 16.,사회,감기약으로    최상급  히로뽕  만들어…중졸에 화학도  몰라,〃,〃
8,2013안건89,동아닷컴,4. 16.,사회,"중졸  30대,    일반  감기약으로  히로뽕  제조, 어떻게?",〃,〃
1,2013안건90,뉴시스,5.  12.,사회,퇴임  앞둔  교장  학교에서  목  매…우울증  심해서?,자살관련보도,시정권고
2,2013안건91,조선닷컴,5.  12.,사회,퇴임  앞둔  교장  학교에서  목  매…우울증  심해서?,〃,〃
3,2013안건92,연합뉴스,5.  15.,사회,"""치매  힘들어""…80대  노부부  저수지서  자살",〃,〃
4,2013안건93,조선일보,5.  15.,11면,"老부부의  비극,  4년간  치매  아내  보살피다가 끝내…",〃,〃
5,2013안건94,조선닷컴,5.  15.,사회,"老부부의  비극,  4년간  치매  아내  보살피다가 끝내…",〃,〃
6,2013안건95,서울신문,5.  15.,9면,“너무  힘들다”...  80대  치매  아내  돌보던 남편  동반  자살,〃,〃
7,2013안건96,인터넷 서울신문,5.  15.,사회,“너무  힘들다”...  80대  치매  아내  돌보던 남편  동반  자살,〃,〃
8,2013안건97,동아일보,5.  15.,12면,80대  노부부  안타까운  자살,〃,〃
9,2013안건98,동아닷컴,5.  15.,사회,80대 노부부 안타까운 자살,〃,〃
10,2013안건99,한겨레,5.  15.,17면,치매  아내  4년  돌보던  80대  끝내…“이  길이 가장  행복”  마지막  동행,〃,〃
1,2013안건100,인터넷한겨레,5.  15.,사회,치매  아내  4년  돌보던  80대  끝내…“이  길이 가장  행복”  마지막  동행,〃,〃
2,2013안건101,영남일보,5.  15.,6면,청송  80대  노부부  차  몰고  저수지로…,〃,〃
3,2013안건102,mk뉴스,5.  14.,사회,"""치매  힘들다""…80대  노부부  승용차  몰아  저수지서  자살",〃,〃
1,2013안건103,세계일보,6. 01.,8면,국회입법조사관이    女화장실서  '몰카',피의자신원공개,불문
2,2013안건104,세계닷컴,5. 31.,사회,국회입법조사관이    女화장실서  ‘몰카’,〃,〃
3,2013안건105,조선닷컴,6. 01.,사회,국회  사무관    女화장실서  '몰카'  찍다  덜미,〃,〃
4,2013안건106,중앙일보,6. 01.,8면,여자화장실    들어가  몰카  찍던  남자  잡고  보니 국회서  근무  고시  3관왕,〃,〃
5,2013안건107,온라인 중앙일보,6. 01.,8면,여자화장실    들어가  몰카  찍던  남자  잡고  보니 국회서  근무  고시  3관왕,〃,〃
6,2013안건108,동아일보,6. 01.,14면,三試  패스  국회    입법조사관  여자화장실  몰카 찍다  덜미,〃,〃
7,2013안건109,동아닷컴,6. 01.,사회,三試  패스  국회    입법조사관  여자화장실  몰카 찍다  덜미,〃,〃
8,2013안건110,인터넷 문화일보,6. 01.,사회,국회  사무관    女화장실서  ‘몰카’  찍다  덜미,〃,〃
9,2013안건111,서울신문,6. 01.,9면,"‘고시  3관왕’   국회  사무관,  여자화장실  몰카 촬영",〃,〃
10,2013안건112,인터넷서울신문,6. 01.,사회,"‘고시  3관왕’   국회  사무관,  여자화장실  몰카 촬영",〃,〃
1,2013안건113,인터넷중부일보,6. 01.,사회,국회  사무관    女화장실서  '몰카'  찍다  덜미,피의자신원공개,불문
2,2013안건114,한국경제,6. 01.,사회,화장실  몰카범    잡고보니  3試  합격  국회  직원,〃,〃
3,2013안건115,한경닷컴,6. 01.,사회,화장실  몰카범    잡고보니  3試  합격  국회  직원,〃,〃
4,2013안건116,조선일보,6. 05.,8면,대구  여대생  살인범  휴대폰·PC에  음란물  100여개,〃,속행
5,2013안건117,영남일보,6. 03.,1면,이것이  살인마의  얼굴,〃,〃
6,,,6. 04.,6면,"""인적  드문  방촌역서  살인마  근무""  소름",,
7,,,6. 05.,6면,음란동영상  중독된  性도착증  환자,,
8,2013안건118,인터넷영남일보,6. 03.,사회,대구  여대생  살해  피의자  조명훈  검거…대구서 첫  얼굴  공개,〃,〃
9,,,6. 04.,사회,대구  여대생  살해범  지하철  공익요원  배치,,
10,2013안건119,매일신문,6. 04.,1면,태연한  범행  재연,〃,〃
11,,,6. 05.,5면,목  조르고  시신  버리고  담담히  재연,,
12,2013안건120,인터넷매일신문,6. 03,사회,태연한  범행  재연…여대생  살해  현장검증,〃,〃
13,,,6. 03.,사회,"""엄마시내서00콜택시타고가요""",,
14,,,6. 04.,사회,목  조르고  시신  버리고...'여대생  살해범'  현장검증,,
15,2013안건121,대구신문,6. 05.,7면,태연하게  범행    재연…주민  탄식·분노,〃,〃
16,2013안건122,인터넷대구신문,6.  04.,사회,태연하게 범행  재연…주민 탄식·분노,〃,〃
17,2013안건123,대구일보,6. 05.,5면,덤덤하게범행재연…‘인면수심’범인에주민들술렁,〃,〃
18,2013안건124,인터넷대구일보,6. 05.,사회,덤덤하게범행재연…‘인면수심’범인에주민들술렁,〃,〃
19,2013안건125,인터넷중부일보,6. 05.,사회,"대구살인사건현장검증,여대생피흘리는데도…담담히상황재연",〃,〃
20,2013안건126,브레이크뉴스,6. 05.,사회,‘여대생  살인’  난타당하는  대구경찰,〃,〃
21,2013안건127,조선일보,6. 12.,11면,여수  30代  여인  '그물망  시체'  보험금  노린  살인으로  드러나,범죄수법상세묘사,시정권고
1,2013안건128,조선닷컴,6. 12.,사회,여수  30代  여인  '그물망  시체'  보험금  노린  살인으로  드러나,범죄수법상세묘사,시정권고
2,2013안건129,뉴시스,5. 22.,사회,춘천  가정집서    60대男  숨진  채  발견,자살관련보도,〃
3,2013안건130,뉴스1코리아,5. 31.,사회,육사출신  여군    대위  총상입고  사망,〃,〃
4,2013안건131,매경닷컴,5. 31.,사회,육사출신여군대위총상입고숨진채발견…자살추정,〃,〃
5,2013안건132,인터넷파이낸셜뉴스,5. 31.,사회,육사출신女장교총상입고사망,〃,〃
6,2013안건133,아시아투데이닷컴,5. 31.,사회,이번엔  육사    출신  여군  대위  총기로  자살,〃,〃
7,2013안건134,세계닷컴,5. 31.,사회,육사  출신  여군  장교  총상입고  사망,〃,〃
8,2013안건135,뉴스1코리아,6. 01.,전국,현직  경찰관    승진  하루만에  권총  자살기도,〃,〃
9,2013안건136,뉴시스,6. 02.,사회,경찰관    총기  자살시도  등  사건·사고  잇따라,〃,〃
10,2013안건137,뉴데일리,6. 01.,사회,"어제는  육군    대위,  오늘은  경찰  경위  자살  기도",〃,〃
11,2013안건138,세계닷컴,6. 01.,사회,"현직  경찰관,    자신  머리에  총기  쏴  자살  기도",〃,〃
12,2013안건139,인터넷파이낸셜뉴스,6. 01.,사회,현직  경찰관    승진  하루만에  권총  자살기도,〃,〃
13,2013안건140,인터넷일간스포츠,6. 01.,사회,"광주  경찰,    근무  중  총기자살  기도…생명  위독",〃,〃
14,2013안건141,인터넷경향신문,6. 01.,사회,현직  경찰  근무    중  지구대서  총기  자살  기도,〃,〃
15,2013안건142,동아닷컴,6. 01.,사회,현직  경찰관  총기로  자신의  머리  쏴  …  무슨일?,〃,〃
16,2013안건143,헤드라인제주,6. 02.,사회,경찰관  총기    자살  기도  '위독'...왜?,〃,〃
17,2013안건144,인터넷국제신문,6. 02.,사회,"음주운전에피의자향응까지…경찰,왜이러나",〃,〃
18,2013안건145,남도일보,6. 03.,8면,광주  북부서    경찰관  총기로  자살  기도,〃,〃
19,2013안건146,인터넷남도일보,6. 02.,사회,광주  북부서    경찰관  총기로  자살  기도,〃,〃
1,2013안건147,시민일보,6. 03.,15면,광주  지구대    소속  경찰관  총기로  자살기도… 위독,자살관련보도,시정권고
2,2013안건148,인터넷시민일보,6. 02.,사회,광주  지구대    소속  경찰관  총기로  자살기도… 위독,〃,〃
3,2013안건149,인터넷신아일보,6. 02.,사회,지구대  경찰관    총기로  자살  기도…  위독,〃,〃
4,2013안건150,광주매일,6. 03.,6면,현직경찰근무중권총자살기도중태,〃,〃
5,2013안건151,인터넷광주매일,6. 03.,사회,현직경찰근무중권총자살기도중태,〃,〃
6,2013안건152,전남일보,6. 03.,7면,"경관,  지구대서    총기자살  기도  중태",〃,〃
7,2013안건153,인터넷전남일보,6. 03.,사회,"경관,  지구대서    총기자살  기도  중태",〃,〃
8,2013안건154,전국매일,6. 03.,15면,지구대소속경찰관총기로자살기도,〃,〃
9,2013안건155,인터넷전국매일,6. 03.,사회,지구대소속경찰관총기로자살기도,〃,〃
10,2013안건156,연합뉴스,5. 27.,사회,물뽕'  제조해  인터넷서  판매한  전직  사채업자 구속,마약및약물보도,〃
